Cecil Shorts,WR,JAC
DeAndre Hopkins,WR,HOU
Jordan Todman,RB,JAC
Jay Cutler,QB,CHI
Danny Amendola,WR,NE
Kansas City Defense,DEF,KC
Latavius Murray,RB,OAK
Shonn Greene,RB,TEN
Marvin Jones,WR,CIN
Arizona Defense,DEF,ARI
David Wilson,RB,NYG
Hakeem Nicks,WR,NYG
Martellus Bennett,TE,CHI
Zach Ertz,TE,PHI
Aaron Dobson,WR,NE
Cincinnati Defense,DEF,CIN
Andy Dalton,QB,CIN
Steve Smith,WR,CAR
St. Louis Defense,DEF,STL
Ben Roethlisberger,QB,PIT
Stevie Johnson,WR,BUF
Bernard Pierce,RB,BAL
Charles Clay,TE,MIA
Kenny Stills,WR,NO
Danario Alexander,WR,SD
BenJarvus Green-Ellis,RB,CIN
Greg Jennings,WR,MIN
Mark Ingram,RB,NO
Alex Smith,QB,KC
Delanie Walker,TE,TEN
Justin Hunter,WR,TEN
Knile Davis,RB,KC
Roy Helu,RB,WAS
Stephen Gostkowski,K,NE
Emmanuel Sanders,WR,PIT
Antonio Gates,TE,SD
Rashard Mendenhall,RB,ARI
Robert Woods,WR,BUF
Christine Michael,RB,SEA
Tampa Bay Defense,DEF,TB
Matt Prater,K,DEN
Golden Tate,WR,SEA
Ryan Tannehill,QB,MIA
Bryce Brown,RB,PHI
Houston Defense,DEF,HOU
Markus Wheaton,WR,PIT
Coby Fleener,TE,IND
Brian Hartline,WR,MIA
Sam Bradford,QB,STL
Justin Tucker,K,BAL
James Starks,RB,GB
Vick Ballard,RB,IND
Carson Palmer,QB,ARI
Dwayne Allen,TE,IND
Steven Hauschka,K,SEA
Jacquizz Rodgers,RB,ATL
Denarius Moore,WR,OAK
New England Defense,DEF,NE
Mike James,RB,TB
Kendall Hunter,RB,SF
Denver Defense,DEF,DEN
Tyler Eifert,TE,CIN
Toby Gerhart,RB,MIN
Mike Williams,WR,TB
Jonathan Stewart,RB,CAR
Eli Manning,QB,NYG
Ahmad Bradshaw,RB,IND
Heath Miller,TE,PIT
Jerrel Jernigan,WR,FA
Jared Cook,TE,STL
Doug Baldwin,WR,SEA
Phil Dawson,K,SF
Owen Daniels,TE,HOU
Jake Locker,QB,TEN
Kenny Britt,WR,TEN
Michael Vick,QB,PHI
Jermichael Finley,TE,GB
Cleveland Defense,DEF,CLE
Jermaine Kearse,WR,SEA
Bilal Powell,RB,NYJ
Dan Bailey,K,DAL
Rod Streater,WR,OAK
Mason Crosby,K,GB
Chicago Defense,DEF,CHI
Mike Tolbert,RB,CAR
Buffalo Defense,DEF,BUF
Joe Flacco,QB,BAL
Kenbrell Thompkins,WR,NE
Baltimore Defense,DEF,BAL
Blair Walsh,K,MIN
NY Jets Defense,DEF,NYJ
EJ Manuel,QB,BUF
Robbie Gould,K,CHI
Alex Henery,K,PHI
Nick Novak,K,SD
Matt Bryant,K,ATL
Greg Zuerlein,K,STL
David Akers,K,DET
